Albania,0,0,0,1,0,1,1,0,1,1,0,1
Argentina,2,0,2,3,0,3,2,0,2,2,0,2
Armenia,2,0,2,0,0,0,0,1,1,0,1,1
Australia,4,5,9,3,2,5,3,3,6,2,3,5
Austria,0,0,0,0,0,0,0,1,1,0,0,0
Bahamas,11,4,15,12,2,14,12,3,15,7,1,8
Bahrain,0,0,0,0,0,0,1,0,1,1,0,1
Bangladesh,9,1,10,9,1,10,10,2,12,8,2,10
Barbados,0,0,0,0,1,1,0,1,1,0,0,0
Belarus,1,0,1,1,0,1,0,1,1,0,1,1
Belgium,0,1,1,2,1,3,2,0,2,3,2,5
Belize,1,0,1,1,0,1,1,0,1,1,0,1
Benin,1,0,1,1,0,1,0,0,0,0,0,0
Botswana,2,0,2,0,0,0,0,0,0,0,0,0
Brazil,14,6,20,13,5,18,10,6,16,1,0,1
Burma,0,0,0,1,0,1,0,0,0,0,0,0
Bulgaria,1,2,3,0,0,0,0,0,0,0,0,0
Cameroon,0,2,2,0,3,3,0,2,2,1,2,3
Canada,16,10,26,14,10,24,11,9,20,12,9,21
Cape Verde,1,0,1,1,1,2,0,1,1,0,1,1
Chile,2,2,4,3,0,3,3,0,3,3,0,3
China,116,83,199,101,100,201,107,101,208,126,111,237
Colombia,3,0,3,4,0,4,6,4,10,8,4,12
Costa Rica,0,1,1,0,1,1,1,1,2,2,1,3
Croatia,0,0,0,0,0,0,1,0,1,1,0,1
Cyprus,0,1,1,0,2,2,0,2,2,0,1,1
Czech Republic,0,1,1,0,1,1,0,1,1,0,2,2
Dominican Republic,0,1,1,0,0,0,0,0,0,0,0,0
Ecuador,1,1,2,0,1,1,0,1,1,1,0,1
Egypt,8,6,14,9,6,15,9,5,14,7,3,10
El Salvador,1,1,2,1,0,1,0,0,0,0,0,0
Eritrea,1,0,1,1,0,1,1,0,1,1,0,1
Estonia,0,1,1,0,1,1,0,2,2,0,1,1
Ethiopia,1,0,1,2,0,2,4,0,4,3,0,3
Finland,0,1,1,0,1,1,0,0,0,0,0,0
France,5,3,8,4,5,9,1,3,4,2,2,4
Gambia,0,0,0,0,0,0,0,1,1,0,0,0
Germany,7,10,17,7,9,16,6,12,18,7,9,16
Ghana,2,1,3,3,1,4,0,0,0,2,1,3
Greece,1,0,1,1,0,1,2,0,2,1,0,1
Guatemala,2,1,3,1,1,2,0,0,0,0,0,0
Guinea Bissau,0,0,0,0,0,0,0,1,1,0,0,0
Haiti,2,0,2,3,0,3,3,0,3,1,0,1
Honduras,4,0,4,4,0,4,2,0,2,3,1,4
Hong Kong,1,1,2,1,3,4,1,4,5,1,3,4
Hungary,6,2,8,4,2,6,3,3,6,4,2,6
