States & Territories,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
Alabama,7530,7117,14647,7233,7612,14845,7454,7141,14595,7364,7020,14384
Alaska,1,8,9,2,7,9,4,4,8,3,5,8
Arizona,10,7,17,9,10,19,12,10,22,12,8,20
Arkansas,26,30,56,28,33,61,27,32,59,20,25,45
California,65,46,111,73,44,117,58,44,102,54,47,101
Colorado,18,12,30,17,12,29,12,14,26,16,18,34
Connecticut,15,6,21,13,11,24,12,10,22,18,11,29
Delaware,6,6,12,4,6,10,3,4,7,7,3,10
District of Columbia,2,1,3,2,2,4,4,3,7,4,2,6
Florida,426,443,869,454,473,927,426,474,900,430,503,933
Georgia,1358,1426,2784,1490,1522,3012,1498,1565,3063,1463,1547,3010
Hawaii,5,1,6,5,2,7,5,3,8,6,3,9
Idaho,1,0,1,2,0,2,4,1,5,5,2,7
Illinois,64,556,620,58,53,111,59,51,110,65,52,117
Indiana,23,32,55,25,38,63,25,39,64,18,44,62
Iowa,7,3,10,7,5,12,4,6,10,9,6,15
Kansas,6,6,12,9,7,16,9,7,16,9,8,17
Kentucky,130,143,273,135,140,275,128,154,282,115,163,278
Louisiana,103,102,205,112,99,211,95,88,183,83,82,165
Maine,8,7,15,7,6,13,8,6,14,6,4,10
Maryland,38,37,75,39,42,81,35,43,78,40,42,82
Massachusetts,11,8,19,16,13,29,15,14,29,20,15,35
Michigan,27,20,47,29,19,48,28,16,44,28,18,46
Minnesota,17,10,27,25,17,42,20,14,34,10,12,22
Mississippi,78,69,147,81,72,153,89,77,166,93,58,151
Missouri,41,28,69,40,36,76,36,41,77,35,39,74
Montana,5,4,9,8,3,11,8,3,11,4,2,6
Nebraska,8,6,14,10,8,18,9,6,15,8,6,14
Nevada,4,1,5,6,2,8,4,3,7,5,5,10
New Hampshire,5,4,9,7,3,10,8,5,13,9,6,15
New Jersey,35,14,49,33,14,47,31,18,49,37,26,63
New Mexico,6,4,10,3,5,8,3,3,6,3,5,8
New York,31,31,62,27,27,54,29,24,53,30,30,60
North Carolina,81,54,135,88,66,154,106,77,183,104,86,190
North Dakota ,7,5,12,4,3,7,3,2,5,1,1,2
Ohio,55,35,90,57,40,97,55,41,96,58,52,110
Oklahoma,13,6,19,12,9,21,14,10,24,17,13,30
Oregon,9,2,11,8,6,14,6,7,13,6,8,14
Pennsylvania,39,51,90,39,44,83,37,42,79,43,36,79
Rhode Island,11,5,16,15,4,19,12,5,17,8,5,13
South Carolina,99,77,176,116,94,210,130,82,212,110,72,182
South Dakota,5,2,7,3,3,6,2,3,5,1,2,3
Tennessee,380,381,761,404,376,780,425,421,846,395,441,836
Texas,139,120,259,155,158,313,175,173,348,166,162,328
Utah,13,6,19,11,4,15,11,6,17,14,9,23
Vermont,2,3,5,1,3,4,4,3,7,3,3,6
Virginia,102,82,184,118,97,215,109,101,210,110,116,226
Washington,16,11,27,16,7,23,20,7,27,17,7,24
West Virginia,8,9,17,7,8,15,4,8,12,5,7,12
Wisconsin,21,8,29,21,7,28,19,12,31,18,9,27
Wyoming,6,3,9,5,2,7,4,3,7,0,4,4
Guam,0,1,1,0,1,1,1,0,1,1,1,2
Puerto Rico,4,2,6,5,1,6,0,1,1,5,1,6
Virgin Islands,0,1,1,2,1,3,2,0,2,1,1,2
