Alabama,3761,3646,3629,3614,3634
Alaska,6,5,4,3,3
Arizona,2,14,15,7,5
Arkansas,9,21,10,10,10
California,36,63,76,50,57
Colorado,15,16,24,22,14
Connecticut,13,19,14,15,18
Delaware,6,2,7,1,2
District of Columbia,2,2,3,1,4
Florida,341,419,377,329,282
Georgia,897,859,844,742,700
Hawaii,1,5,3,1,3
Idaho,1,4,7,0,2
Illinois,45,77,52,48,53
Indiana,21,18,20,18,13
Iowa,5,6,4,11,3
Kansas,9,7,6,6,3
Kentucky,29,39,38,36,38
Louisiana,36,46,45,20,23
Maine,2,0,1,1,2
Maryland,39,37,49,49,51
Massachusetts,20,15,17,15,15
Michigan,25,21,27,11,12
Minnesota,4,12,11,9,10
Mississippi,34,42,54,40,23
Missouri,19,27,35,20,15
Montana,2,0,1,1,1
Nebraska,6,5,1,3,4
Nevada,4,4,5,5,2
New Hampshire,3,5,3,8,2
New Jersey,19,28,40,42,34
New Mexico,6,6,3,3,2
New York,30,27,36,22,30
North Carolina,96,99,112,71,62
North Dakota,0,1,0,1,0
Ohio,34,42,38,34,38
Oklahoma,6,13,7,6,4
Oregon,4,1,2,4,4
Pennsylvania,25,33,30,36,33
Rhode Island,3,5,6,3,5
South Carolina,68,66,92,44,54
South Dakota,0,1,3,0,0
Tennessee,211,245,259,202,168
Texas,145,188,205,164,129
Utah,2,5,8,3,4
Vermont,0,2,2,2,3
Virginia,97,84,111,102,74
Washington,14,7,14,14,7
West Virginia,2,4,3,5,3
Wisconsin,10,10,14,7,10
Wyoming,1,3,1,2,3
Total,5221,5374,5416,4978,4724
