CaucasianM 10418 10484 10529 10326 10222
CaucasianF 9886 10043 10300 10155 9977
BlackM 814 86 863 832 805
BlackF 1114 1117 1072 1032 1023
Amer.Ind.orAlaskanM 74 77 79 76 81
Amer.Ind.orAlaskanF 75 88 86 89 96
AsianorPac.IslandM 266 262 261 275 293
AsianorPac.IslandF 217 241 250 266 266
HispanicM 251 303 344 328 288
HispanicF 266 289 318 315 287
Non-residentAlienM 624 655 670 690 767
Non-residentAlienF 335 367 406 398 419
UnknownM 143 153 143 178 172
UnknownF 119 138 148 176 168
Total 24602 25078 25469 25134 24864
